# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
133; 00133-pano.jpg; 1720147574.714249; -94.561990; -16.475420; 0.967517; 0.985217; -0.008892; -0.011215; 0.170712
134; 00134-pano.jpg; 1720147580.334006; -90.940444; -14.666392; 0.902413; 0.972091; -0.000784; 0.001806; 0.234596
135; 00135-pano.jpg; 1720147585.827797; -87.408569; -12.939333; 0.903550; 0.975126; 0.005232; -0.015896; 0.221020
136; 00136-pano.jpg; 1720147591.325580; -84.066813; -10.982661; 0.951741; 0.972856; 0.010261; -0.005254; 0.231124
137; 00137-pano.jpg; 1720147596.489471; -80.496683; -9.359464; 1.031989; 0.971945; -0.013130; -0.008704; 0.234682
138; 00138-pano.jpg; 1720147601.813295; -76.680063; -7.763984; 1.071831; 0.971536; -0.004761; -0.016788; 0.236247
139; 00139-pano.jpg; 1720147607.064057; -72.917110; -5.902449; 1.134319; 0.965711; 0.001742; -0.010339; 0.259409
140; 00140-pano.jpg; 1720147612.208913; -70.031043; -2.859155; 1.275668; 0.979029; -0.003004; 0.003010; 0.203675
141; 00141-pano.jpg; 1720147618.226706; -68.456071; -7.666519; 1.120382; 0.859621; -0.043126; -0.017686; -0.508802
142; 00142-pano.jpg; 1720147623.526469; -65.772363; -10.862359; 1.090015; 0.832523; -0.023660; -0.011949; -0.553356
143; 00143-pano.jpg; 1720147628.453368; -63.478850; -14.373439; 1.068157; 0.948283; -0.015358; 0.003536; -0.317036
144; 00144-pano.jpg; 1720147633.724180; -59.996592; -13.563799; 0.964454; 0.987662; -0.010358; -0.015620; 0.155478
145; 00145-pano.jpg; 1720147639.951946; -55.611955; -14.240199; 0.993415; 0.850635; 0.015048; 0.025661; -0.524914
146; 00146-pano.jpg; 1720147644.761792; -53.644769; -17.732620; 0.932611; 0.842790; -0.022721; 0.005499; -0.537734
147; 00147-pano.jpg; 1720147649.858600; -51.977444; -21.473722; 1.015124; 0.837947; -0.005808; -0.004132; -0.545705
148; 00148-pano.jpg; 1720147655.076429; -50.235169; -25.270564; 0.923807; 0.841817; 0.000500; -0.010661; -0.539657
149; 00149-pano.jpg; 1720147661.793242; -48.355711; -29.123670; 0.935364; 0.839399; 0.020078; 0.007449; -0.543094
150; 00150-pano.jpg; 1720147668.153069; -46.358723; -32.989802; 0.965892; 0.857935; -0.025258; -0.033557; -0.512038
151; 00151-pano.jpg; 1720147700.986466; -55.742710; -8.600493; 1.038671; 0.982253; 0.011026; 0.000282; 0.187236
152; 00152-pano.jpg; 1720147706.144720; -52.081112; -6.737011; 0.943313; 0.960342; 0.004226; -0.022521; 0.277883
153; 00153-pano.jpg; 1720147711.219543; -48.221053; -7.828350; 0.984405; 0.973112; -0.009102; -0.013828; 0.229736
154; 00154-pano.jpg; 1720147715.489460; -45.035032; -6.097485; 1.015461; 0.975875; -0.008557; -0.016094; 0.217566
155; 00155-pano.jpg; 1720147720.315212; -41.726193; -4.670025; 0.940497; 0.951202; -0.000716; -0.034208; 0.306666
156; 00156-pano.jpg; 1720147724.998058; -38.500842; -2.890804; 0.959368; 0.961203; 0.017414; -0.027639; 0.273900
157; 00157-pano.jpg; 1720147730.028874; -35.636738; -1.425769; 1.024796; 0.974905; -0.000963; -0.034829; 0.219876
158; 00158-pano.jpg; 1720147734.944747; -32.366398; 0.006939; 0.975840; 0.962706; -0.002760; -0.017407; 0.269976
159; 00159-pano.jpg; 1720147739.453629; -29.074040; 1.742699; 0.959648; 0.960713; 0.011251; -0.014303; 0.276946
160; 00160-pano.jpg; 1720147743.895462; -25.872784; 3.360903; 1.019769; 0.975232; 0.003211; -0.025689; 0.219663
161; 00161-pano.jpg; 1720147748.013238; -22.981152; 4.618773; 0.973711; 0.964432; -0.007812; -0.010982; 0.263989
162; 00162-pano.jpg; 1720147761.674830; -16.674211; 2.217773; 1.047814; 0.540921; 0.024363; -0.016146; 0.840565
163; 00163-pano.jpg; 1720147765.332639; -17.867104; 5.019809; 0.960031; 0.488386; 0.012215; -0.009402; 0.872492
164; 00164-pano.jpg; 1720147773.883419; -16.903238; 13.015789; 1.027934; 0.559520; -0.005434; -0.025357; 0.828411
165; 00165-pano.jpg; 1720147777.959241; -18.344420; 16.377416; 1.049394; 0.538201; 0.012767; -0.003826; 0.842711
166; 00166-pano.jpg; 1720147782.080130; -20.947205; 17.821890; 1.081705; -0.180879; 0.001715; 0.002674; 0.983500
167; 00167-pano.jpg; 1720147786.800965; -24.620409; 16.179968; 1.106198; -0.185397; 0.017757; -0.005013; 0.982491
168; 00168-pano.jpg; 1720147792.061776; -28.485267; 14.445216; 1.247893; -0.175013; 0.021469; -0.017928; 0.984169
169; 00169-pano.jpg; 1720147796.938272; -32.018544; 13.915988; 1.281547; -0.229264; 0.015736; -0.006328; 0.973216
170; 00170-pano.jpg; 1720147801.867454; -35.601072; 11.996734; 1.248862; -0.216668; 0.028758; -0.001145; 0.975821
171; 00171-pano.jpg; 1720147807.688272; -39.164559; 9.969496; 1.248779; -0.040196; 0.005865; 0.000235; 0.999175
172; 00172-pano.jpg; 1720147813.198049; -42.788982; 8.351834; 1.258415; -0.356167; 0.003057; -0.000067; 0.934417
173; 00173-pano.jpg; 1720147818.727834; -46.277923; 6.731225; 1.257969; -0.205472; 0.018804; -0.001501; 0.978481
174; 00174-pano.jpg; 1720147824.494667; -50.196919; 4.961834; 1.242258; -0.367656; -0.003369; -0.005973; 0.929937
175; 00175-pano.jpg; 1720147829.973511; -52.789315; 3.161299; 1.228713; -0.173923; 0.022668; -0.016950; 0.984352
176; 00176-pano.jpg; 1720147835.254294; -55.883304; 1.885895; 1.239437; -0.254055; 0.032987; -0.007387; 0.966599
177; 00177-pano.jpg; 1720147841.953077; -59.628233; 0.025194; 1.257099; -0.244686; 0.030908; -0.000093; 0.969110
178; 00178-pano.jpg; 1720147848.752856; -64.811873; -2.341952; 1.265566; -0.250333; 0.025546; -0.015568; 0.967697
179; 00179-pano.jpg; 1720147853.554684; -66.835600; 0.244307; 1.251897; 0.521827; 0.005735; -0.014186; 0.852914
180; 00180-pano.jpg; 1720147858.192537; -68.003068; 2.896260; 1.288249; 0.649900; -0.026340; 0.026318; 0.759107
181; 00181-pano.jpg; 1720147862.594442; -65.926764; 2.627007; 1.283206; 0.817271; -0.021328; -0.014143; -0.575685
182; 00182-pano.jpg; 1720147868.377172; -64.419191; 0.047539; 1.276122; 0.647992; 0.011565; 0.022066; -0.761239
183; 00183-pano.jpg; 1720147873.351302; -62.030367; 1.595260; 1.269352; 0.971668; -0.014336; 0.001383; 0.235912
184; 00184-pano.jpg; 1720147878.444831; -58.540084; 3.155146; 1.270249; 0.975481; -0.008226; -0.002816; 0.219910
185; 00185-pano.jpg; 1720147882.366688; -56.339393; 4.411452; 1.289385; 0.539401; -0.018335; 0.003038; 0.841844
186; 00186-pano.jpg; 1720147886.964164; -58.261396; 7.155468; 1.277410; 0.091691; 0.000134; -0.034799; 0.995179
187; 00187-pano.jpg; 1720147891.367349; -61.220071; 6.062875; 1.270308; -0.211990; 0.013446; -0.005763; 0.977162
188; 00188-pano.jpg; 1720147895.641304; -64.132654; 4.669743; 1.291791; -0.222252; 0.025621; -0.003777; 0.974645
